movie_id,movie_name,release_date,genre,mpaa,open_theater,prod_budget,country_usa,opening_weekend,us_total_gross,user_rating,votes_user,metascore,votes_critic,MPAA1,MPAA2,MPAA3,MPAA4,MPAA5,MPAA6,genre_type
806,Warm Bodies,2/1/2013,Drama,PG-13,3.009,35,1,20.353967,66.359959,7,157.988,59,1,0,0,0,1,0,0,5
807,"The Way, Way Back",7/5/2013,Comedy,PG-13,.019,4.6,1,.5527879999999999,21.501098,7.4,97.339,68,8,0,0,0,1,0,0,4
811,White House Down,6/28/2013,Action Drama,PG-13,3.222,150,1,24.852258,73.103784,6.4,133.715,52,10,0,0,0,1,0,0,5
813,Winnie Mandela,9/6/2013,Drama,R,.032,15,0,,.080634,5.9,.5649999999999999,37,56,0,0,0,0,1,0,5
816,The Wolf of Wall Street,12/25/2013,Drama,R,2.537,100,1,18.51,116.866727,8.300000000000001,531.745,75,22,0,0,0,0,1,0,5
818,World War Z,6/21/2013,Action Horror,PG-13,3.607,190,1,66.411834,202.351611,7,370.419,63,5,0,0,0,1,0,0,6
819,The Worlds End,8/23/2013,Comedy,R,1.551,28,1,8.790236999999999,26.003149,7,142.353,81,22,0,0,0,0,1,0,4
822,13 Sins,4/18/2014,Thriller,R,.045,4,1,.009134,.009134,6.2,16.299,44,22,0,0,0,0,1,0,6
824,22 Jump Street,6/13/2014,Action Comedy,R,3.306,50,1,57.071445,191.616238,7.2,171.408,71,22,0,0,0,0,1,0,4
825,3 Days to Kill,2/21/2014,Action Thriller,PG-13,2.872,28,1,12.242218,30.688364,6.2,53.838,40,1,0,0,0,1,0,0,6
829,About Last Night (2014),2/14/2014,Romantic Comedy,R,2.253,12.5,1,27.838201,48.637684,6.1,12.434,62,1,0,0,0,0,1,0,4
832,The Adventurer: The Curse of the Midas Box,1/10/2014,Family Adventure,PG,.082,25,0,.004756,.004756,5.4,2.891,39,22,0,0,1,0,0,0,2
836,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/10/2014,Family,PG,3.088,28,1,18.36023,66.87068499999999,6.2,12.112,54,9,0,0,1,0,0,0,7
841,And So It Goes,7/25/2014,Comedy / Drama,PG-13,1.762,30,1,4.642329,15.155772,5.6,4.606,38,3,0,0,0,1,0,0,4
842,Annabelle,10/3/2014,Horror,R,3.185,6.5,1,37.134255,84.263837,5.5,49.461,37,22,0,0,0,0,1,0,6
848,At Middleton,1/31/2014,Romance,R,.02,2.5,1,.003458,.049953,6.5,4.535,60,22,0,0,0,0,1,0,5
850,Bad Words,3/14/2014,Comedy,R,.006,9.5,1,.113301,7.764027,6.7,27.72,57,3,0,0,0,0,1,0,4
852,Barefoot,2/21/2014,Comedy / Drama,PG-13,.018,6,1,.011766,.011766,6.7,7.067,22,22,0,0,0,1,0,0,4
857,Belle,5/2/2014,Drama,PG,.004,10.9,0,.106578,10.72299,7.4,11.25,64,22,0,0,1,0,0,0,5
858,The Best of Me,10/17/2014,Romance,PG-13,2.936,26,1,10.003827,26.761283,6.6,12.793,29,56,0,0,0,1,0,0,5
859,Beyond the Lights,11/14/2014,Drama,PG-13,1.789,7,1,6.5,14.61284,6.7,2.88,73,22,0,0,0,1,0,0,5
860,Big Hero 6,11/7/2014,Animation,PG,3.761,165,1,56.215889,218.504285,8,93.392,74,24,0,0,1,0,0,0,3
862,Blended,5/23/2014,Romantic Comedy,PG-13,3.555,40,1,18.185,46.280507,6.5,54.695,31,10,0,0,0,1,0,0,4
865,The Book of Life (2014),10/17/2014,Animation,PG,3.071,50,1,17.005218,50.123408,7.3,19.894,67,22,0,0,1,0,0,0,3
866,Born to Fly: Elizabeth Streb vs. Gravity,9/10/2014,Documentary,Unrated,.001,.5,1,.001822,.021199,6.7,.022,78,8,0,0,0,0,0,1,7
867,The Boxtrolls,9/26/2014,Animation,PG,3.464,60,1,17.275239,50.807639,6.9,21.492,61,11,0,0,1,0,0,0,3
869,Brick Mansions,4/25/2014,Action,PG-13,2.647,28,0,9.516855,20.285518,5.7,22.79,40,9,0,0,0,1,0,0,1
872,Captain America: The Winter Soldier,4/4/2014,Action / Adventure,PG-13,3.938,170,1,95.02372099999999,259.746958,7.8,326.206,70,1,0,0,0,1,0,0,1
879,Dawn of the Planet of the Apes,7/11/2014,Sci-Fi Action,PG-13,3.967,170,1,72.61142700000001,208.543795,7.7,227.925,79,3,0,0,0,1,0,0,1
882,Decoding Annie Parker,5/2/2014,Drama,R,.013,2,1,.016781,.03985,6.3,1.853,56,22,0,0,0,0,1,0,5
885,Devils Due,1/17/2014,Horror,R,2.544,7,1,9.145358,15.818967,4,11.283,34,28,0,0,0,0,1,0,6
888,Divergent,3/21/2014,Action / Adventure,PG-13,3.936,85,1,54.607747,150.832203,6.8,228.875,48,8,0,0,0,1,0,0,1
889,Dolphin Tale 2,9/12/2014,Family,PG,3.656,36,1,15.873397,42.019483,6.5,3.598,58,22,0,0,1,0,0,0,7
891,Dracula Untold,10/10/2014,Action Horror,PG-13,2.885,70,1,23.514615,55.94283,6.3,88.032,40,9,0,0,0,1,0,0,6
894,The Drop,9/12/2014,Crime Drama,R,.8090000000000001,12.6,1,4.104552,10.720322,7.1,54.294,69,9,0,0,0,0,1,0,5
895,Dumb and Dumber To,11/14/2014,Comedy,PG-13,3.154,35,1,38.053,86.19365000000001,6,51.651,36,1,0,0,0,1,0,0,4
896,Earth to Echo,7/2/2014,Adventure,PG,3.229,13,1,8.364658,38.916903,5.7,10.231,53,26,0,0,1,0,0,0,2
897,Edge of Tomorrow,6/6/2014,Sci-Fi Action,PG-13,3.49,178,1,28.760246,100.189501,8,286.796,71,8,0,0,0,1,0,0,1
898,Endless Love (2014),2/14/2014,Romance,PG-13,2.896,20,1,14.407605,23.393765,6.3,21.632,30,1,0,0,0,1,0,0,5
900,The Equalizer,9/26/2014,Thriller,R,3.236,55,1,34.137828,101.530738,7.2,140.657,57,8,0,0,0,0,1,0,6
902,Exodus: Gods and Kings,12/12/2014,Drama,PG-13,3.503,140,1,24.115934,64.881433,6.3,42.304,52,9,0,0,0,1,0,0,5
905,Falcon Rising,9/5/2014,Action / Adventure,R,.01,4.5,1,.008691,.008691,5.7,3.176,49,22,0,0,0,0,1,0,1
906,The Fault in our Stars,6/6/2014,Drama,PG-13,3.173,12,1,48.002523,124.868837,8,165.092,69,27,0,0,0,1,0,0,5
914,Fury (2014),10/17/2014,War,R,3.173,68,1,23.702421,85.707116,7.7,163.616,64,5,0,0,0,0,1,0,2
919,The Giver,8/15/2014,Fantasy Drama,PG-13,3.003,25,1,12.305016,45.089048,6.5,56.366,47,5,0,0,0,1,0,0,5
925,Gone Girl,10/3/2014,Thriller,R,3.014,61,1,37.513109,167.735396,8.199999999999999,315.739,79,3,0,0,0,0,1,0,6
933,Guardians of the Galaxy,8/1/2014,Action / Adventure,PG-13,4.08,170,1,94.32088299999999,333.130696,8.199999999999999,416.413,76,9,0,0,0,1,0,0,1
937,A Haunted House 2,4/18/2014,Horror Comedy,R,2.31,3.5,1,8.843875000000001,17.314483,4.7,10.059,17,23,0,0,0,0,1,0,4
938,Heaven is for Real,4/16/2014,Drama,PG,2.417,12,1,22.522221,91.443253,5.8,16.519,47,9,0,0,1,0,0,0,5
940,Hercules (2014),7/25/2014,Action / Adventure,PG-13,3.595,100,1,29.800263,72.66002899999999,6.1,81.636,47,26,0,0,0,1,0,0,1
944,The Hobbit: The Battle of the Five Armies,12/17/2014,Fantasy,PG-13,3.875,250,1,54.724334,252.906934,7.6,198.8,59,9,0,0,0,1,0,0,2
946,The Homesman,11/14/2014,Western,R,.004,16,1,.139311,2.42091,6.6,11.092,68,22,0,0,0,0,1,0,1
949,Horrible Bosses 2,11/26/2014,Comedy,R,3.375,42,1,15.457418,54.414716,6.5,39.762,40,24,0,0,0,0,1,0,4
950,How to Train Your Dragon 2,6/13/2014,Animation,PG,4.253,145,1,49.451322,176.997107,8,145.79,76,14,0,0,1,0,0,0,3
952,The Hundred-Foot Journey,8/8/2014,Drama,PG,2.023,22,1,10.97929,54.235441,7.3,30.34,55,10,0,0,1,0,0,0,5
953,The Hunger Games: Mockingjay - Part 1,11/21/2014,Action / Adventure,PG-13,4.151,125,1,121.897634,335.704905,7.1,129.001,64,1,0,0,0,1,0,0,1
956,"I, Frankenstein",1/24/2014,Action Horror,PG-13,2.753,65,1,8.610441,19.059018,5.2,52.167,30,9,0,0,0,1,0,0,6
957,The Identical,9/5/2014,Drama,PG,1.956,12,1,1.587137,2.817092,4.5,1.209,25,5,0,0,1,0,0,0,5
958,If I Stay,8/22/2014,Drama,PG-13,2.907,11,1,15.67919,50.461335,6.9,45.162,46,24,0,0,0,1,0,0,5
960,The Immigrant,5/16/2014,Drama,R,.003,16.5,1,.044064,1.984743,6.6,13.856,77,22,0,0,0,0,1,0,5
